7,-16068,-16171,-16118,-16072
8,-16426,-16180,-16092,-16390
9,-15848,-16105,-16123,-15902
10,-16193,-16117,-16174,-16163
11,-15983,-16105,-16129,-16000
12,-16373,-16148,-16070,-16335
13,-15999,-16137,-16094,-16032
14,-16196,-16098,-16149,-16179
15,-16216,-16160,-16159,-16212
16,-16061,-16138,-16142,-16076
17,-16156,-16166,-16160,-16147
18,-16060,-16114,-16142,-16068
19,-16176,-16144,-16115,-16165
20,-16208,-16146,-16111,-16203
21,-16372,-16172,-16134,-16355
22,-16249,-16203,-16194,-16259
23,-16169,-16205,-16263,-16178
24,-16057,-16205,-16272,-16069
25,-16130,-16197,-16207,-16123
26,-16080,-16176,-16133,-16084
27,-15945,-16105,-16099,-15958
28,-16176,-16092,-16078,-16154
29,-16372,-16126,-16052,-16350
30,-16148,-16141,-16102,-16168
31,-16096,-16136,-16208,-16103
32,-16091,-16138,-16219,-16092
33,-16253,-16189,-16149,-16236
34,-16016,-16162,-16120,-16037
35,-16016,-16103,-16138,-16018
36,-16180,-16108,-16111,-16163
37,-16216,-16128,-16067,-16210
38,-15955,-16106,-16101,-15980
39,-16366,-16124,-16142,-16327
40,-16001,-16122,-16128,-16033
41,-15930,-16108,-16142,-15940
42,-16232,-16116,-16122,-16202
43,-16237,-16120,-16051,-16233
44,-16094,-16143,-16092,-16107
45,-16181,-16112,-16171,-16173
46,-16168,-16140,-16169,-16168
47,-16067,-16163,-16151,-16077
48,-16092,-16139,-16147,-16090
49,-16177,-16129,-16119,-16168
50,-16171,-16142,-16102,-16170
51,-16184,-16143,-16128,-16182
52,-16098,-16131,-16160,-16106
53,-16356,-16179,-16166,-16330
54,-16155,-16190,-16168,-16172
55,-15969,-16155,-16204,-15989
56,-16290,-16175,-16196,-16259
57,-16169,-16172,-16126,-16178
58,-16201,-16190,-16139,-16198
59,-16077,-16143,-16187,-16089
60,-16343,-16174,-16180,-16317
61,-15985,-16177,-16165,-16018
62,-16112,-16147,-16175,-16102
63,-16245,-16160,-16145,-16230
64,-16243,-16167,-16110,-16241
65,-16035,-16160,-16159,-16055
66,-16184,-16134,-16192,-16171
67,-15967,-16131,-16151,-15987
68,-16369,-16173,-16110,-16330
69,-16075,-16145,-16106,-16100
70,-15989,-16103,-16151,-16000
71,-15889,-16078,-16151,-15900
72,-16211,-16083,-16055,-16179
73,-16173,-16117,-15996,-16173
74,-16156,-16082,-16056,-16157
75,-15925,-16057,-16140,-15948
76,-16080,-16072,-16131,-16066
77,-16197,-16123,-16064,-16183
78,-16096,-16104,-16046,-16104
79,-16129,-16097,-16104,-16126
80,-16305,-16122,-16133,-16287
81,-15858,-16110,-16141,-15900
82,-16096,-16113,-16153,-16076
83,-16202,-16114,-16089,-16189
84,-16012,-16100,-16047,-16029
85,-16228,-16116,-16096,-16208
86,-16044,-16073,-16114,-16060
87,-15897,-16079,-16114,-15913
88,-15976,-16059,-16086,-15969
89,-15997,-16025,-16001,-15994
90,-16136,-16046,-15962,-16121
91,-16216,-16044,-15996,-16206
92,-16358,-16096,-16072,-16342
93,-16049,-16122,-16168,-16078
94,-15956,-16118,-16227,-15968
95,-15879,-16099,-16166,-15887
96,-16198,-16109,-16036,-16166
97,-16210,-16108,-15978,-16205
98,-15977,-16044,-16045,-15999
99,-16025,-16040,-16125,-16022
100,-16033,-16053,-16091,-16031
101,-16201,-16107,-16035,-16183
102,-16167,-16102,-16046,-16168
103,-16210,-16102,-16108,-16205
104,-16062,-16116,-16161,-16076
105,-15968,-16106,-16165,-15978
106,-16257,-16144,-16120,-16229
107,-16048,-16118,-16070,-16066
108,-16180,-16120,-16098,-16168
109,-16053,-16094,-16128,-16064
110,-16194,-16116,-16121,-16181
111,-16206,-16156,-16119,-16203
112,-16029,-16118,-16134,-16046
113,-16140,-16133,-16155,-16130
114,-15900,-16087,-16123,-15923
115,-16154,-16103,-16077,-16130
116,-16105,-16089,-16039,-16107
117,-16032,-16060,-16048,-16039
118,-16208,-16089,-16088,-16191
119,-16164,-16093,-16093,-16166
120,-16280,-16157,-16124,-16268
121,-16378,-16194,-16177,-16366
122,-15988,-16175,-16231,-16025
123,-16242,-16210,-16259,-16220
124,-15988,-16173,-16197,-16011
125,-16300,-16196,-16134,-16271
126,-16168,-16177,-16123,-16178
127,-15928,-16102,-16152,-15952
128,-16141,-16127,-16160,-16122
129,-16379,-16150,-16092,-16353
130,-15969,-16147,-16094,-16007
131,-16104,-16114,-16174,-16094
132,-16145,-16111,-16154,-16139
133,-16167,-16150,-16094,-16164
134,-16284,-16174,-16114,-16272
135,-16023,-16115,-16157,-16047
136,-16120,-16140,-16183,-16112
137,-16217,-16159,-16150,-16206
138,-15936,-16124,-16113,-15962
139,-16163,-16123,-16118,-16142
140,-16132,-16098,-16090,-16133
141,-16037,-16100,-16079,-16046
142,-16376,-16143,-16108,-16342
143,-16126,-16128,-16128,-16147
144,-16205,-16173,-16183,-16199
145,-16212,-16181,-16213,-16210
146,-16244,-16200,-16194,-16240
147,-16366,-16254,-16203,-16353
148,-16065,-16203,-16236,-16093
149,-16208,-16216,-16258,-16196
150,-16160,-16209,-16215,-16163
151,-16130,-16195,-16168,-16133
152,-16140,-16178,-16162,-16139
153,-16165,-16144,-16149,-16162
154,-16041,-16140,-16139,-16053
155,-16225,-16143,-16135,-16207
156,-16148,-16141,-16122,-16153
157,-16168,-16147,-16136,-16166
158,-16251,-16166,-16164,-16242
159,-15989,-16137,-16171,-16014
160,-16185,-16161,-16171,-16167
161,-16105,-16141,-16131,-16111
162,-16137,-16139,-16109,-16134
163,-16173,-16140,-16124,-16169
164,-15880,-16078,-16127,-15908
165,-16157,-16106,-16111,-16132
166,-16001,-16075,-16054,-16014
167,-15906,-16042,-16033,-15916
168,-16364,-16080,-16035,-16319
169,-16048,-16059,-16028,-16075
170,-16167,-16107,-16106,-16157
171,-16012,-16083,-16156,-16026
172,-15921,-16069,-16118,-15931
173,-16196,-16118,-16067,-16169
174,-16076,-16070,-16021,-16085
175,-16261,-16105,-16057,-16243
176,-16101,-16094,-16120,-16115
177,-15901,-16076,-16152,-15922
178,-16114,-16108,-16129,-16094
179,-16044,-16082,-16047,-16049
180,-16164,-16097,-16027,-16152
181,-16040,-16060,-16063,-16051
182,-16137,-16066,-16092,-16128
183,-16287,-16131,-16099,-16271
184,-15997,-16111,-16118,-16024
185,-16097,-16120,-16157,-16089
186,-16036,-16099,-16129,-16041
187,-16026,-16096,-16074,-16027
188,-16307,-16125,-16056,-16279
189,-16072,-16089,-16072,-16092
190,-16192,-16121,-16135,-16182
191,-16106,-16123,-16162,-16113
192,-16129,-16138,-16146,-16127
193,-16213,-16169,-16137,-16204
194,-16036,-16124,-16134,-16052
195,-16233,-16151,-16145,-16214
196,-15952,-16111,-16133,-15978
197,-16205,-16128,-16119,-16182
198,-16241,-16146,-16100,-16235
199,-16109,-16129,-16115,-16121
200,-16297,-16172,-16172,-16279
201,-16136,-16156,-16187,-16150
202,-16216,-16200,-16197,-16209
203,-16368,-16227,-16202,-16352
204,-16107,-16205,-16210,-16131
205,-16220,-16224,-16245,-16211
206,-16057,-16184,-16226,-16072
207,-16074,-16173,-16173,-16073
208,-16201,-16171,-16128,-16188
209,-16113,-16128,-16100,-16120
210,-16285,-16158,-16125,-16268
211,-16073,-16133,-16157,-16092
212,-16144,-16148,-16179,-16138
213,-16125,-16156,-16164,-16126
214,-15941,-16113,-16126,-15959
215,-16249,-16136,-16103,-16220
216,-16089,-16103,-16073,-16102
217,-16156,-16117,-16097,-16150
218,-16280,-16140,-16137,-16267
219,-15912,-16104,-16149,-15947
220,-16247,-16155,-16160,-16217
221,-15987,-16111,-16119,-16010
222,-16131,-16118,-16093,-16118
223,-16205,-16127,-16094,-16196
224,-16072,-16092,-16096,-16084
225,-16249,-16148,-16132,-16232
226,-16344,-16164,-16150,-16332
227,-15943,-16157,-16183,-15981
228,-16069,-16147,-16217,-16060
229,-15961,-16106,-16141,-15970
