7,-16376,-16143,-16073,-16307
8,-16394,-16174,-16160,-16367
9,-15856,-16151,-16249,-16009
10,-16044,-16163,-16261,-16033
11,-15833,-16111,-16138,-15893
12,-16172,-16112,-16010,-16088
13,-15985,-16047,-15970,-16015
14,-16345,-16039,-16007,-16246
15,-16393,-16128,-16085,-16348
16,-15642,-16061,-16172,-15853
17,-16166,-16117,-16198,-16072
18,-15740,-16045,-16074,-15839
19,-16913,-16199,-15985,-16590
20,-15601,-16075,-16042,-15897
21,-16309,-16061,-16179,-16185
22,-16101,-16138,-16182,-16126
23,-15958,-16103,-16102,-16008
24,-16100,-16163,-16099,-16072
25,-16179,-16041,-16069,-16146
26,-16160,-16134,-16068,-16155
27,-16024,-16087,-16111,-16063
28,-16029,-16075,-16128,-16039
29,-16140,-16105,-16095,-16109
30,-16104,-16106,-16065,-16105
31,-16336,-16132,-16085,-16266
32,-16424,-16176,-16143,-16376
33,-15869,-16150,-16220,-16021
34,-16019,-16148,-16250,-16019
35,-15848,-16100,-16143,-15899
36,-16282,-16129,-16013,-16167
37,-16160,-16100,-15988,-16162
38,-15952,-16021,-16060,-16015
39,-16256,-16086,-16123,-16183
40,-16045,-16090,-16106,-16086
41,-16083,-16129,-16104,-16083
42,-16025,-16086,-16107,-16042
43,-16151,-16085,-16082,-16118
44,-16161,-16120,-16072,-16148
45,-15943,-16068,-16088,-16004
46,-16080,-16073,-16100,-16057
47,-16225,-16097,-16072,-16174
48,-16048,-16101,-16064,-16085
49,-16228,-16114,-16107,-16185
50,-15891,-16069,-16127,-15979
51,-15980,-16075,-16106,-15979
52,-16200,-16095,-16052,-16133
53,-16088,-16072,-16018,-16101
54,-16130,-16086,-16063,-16121
55,-16075,-16060,-16108,-16088
56,-15993,-16077,-16107,-16021
57,-16289,-16129,-16090,-16208
58,-16038,-16102,-16082,-16089
59,-16028,-16092,-16111,-16046
60,-15996,-16069,-16111,-16011
61,-16076,-16070,-16061,-16056
62,-16008,-16072,-16029,-16022
63,-15874,-16003,-16024,-15918
64,-16162,-16024,-16012,-16088
65,-16082,-16033,-15993,-16083
66,-16061,-16043,-16026,-16067
67,-16144,-16055,-16073,-16120
68,-16121,-16074,-16087,-16120
69,-16200,-16128,-16103,-16176
70,-16282,-16148,-16131,-16250
71,-16193,-16166,-16171,-16210
72,-16050,-16165,-16208,-16098
73,-16092,-16156,-16196,-16093
74,-16177,-16165,-16140,-16151
75,-16033,-16137,-16105,-16068
76,-16141,-16114,-16108,-16119
77,-16213,-16117,-16106,-16184
78,-16080,-16122,-16113,-16111
79,-16091,-16122,-16138,-16097
