r7,-16195,-16140,-16112,-16133
8,-16180,-16108,-16088,-16165
9,-16120,-16120,-16093,-16133
10,-16145,-16129,-16135,-16141
11,-15920,-16077,-16140,-15986
12,-16011,-16095,-16104,-16003
13,-16237,-16102,-16047,-16166
14,-16084,-16086,-16033,-16108
15,-15961,-16059,-16083,-16005
16,-16092,-16050,-16100,-16065
17,-16152,-16089,-16062,-16125
18,-16009,-16089,-16054,-16043
19,-16124,-16070,-16080,-16099
20,-16171,-16084,-16084,-16149
21,-16107,-16109,-16092,-16119
22,-15976,-16089,-16115,-16018
23,-16328,-16119,-16113,-16235
24,-16310,-16169,-16107,-16287
25,-16296,-16198,-16169,-16293
26,-16185,-16200,-16255,-16217
27,-16040,-16189,-16271,-16093
28,-15928,-16181,-16214,-15977
29,-15997,-16126,-16111,-15991
30,-16168,-16102,-16023,-16114
31,-16325,-16107,-16014,-16261
32,-16036,-16082,-16089,-16103
33,-15976,-16071,-16163,-16014
34,-15936,-16073,-16135,-15959
35,-16045,-16081,-16043,-16019
36,-16145,-16077,-15992,-16107
37,-16254,-16065,-16016,-16209
38,-16181,-16089,-16091,-16189
39,-15977,-16089,-16159,-16040
40,-16041,-16107,-16161,-16040
41,-16001,-16099,-16094,-16012
42,-16060,-16085,-16037,-16045
43,-15835,-16015,-16017,-15898
44,-16220,-16022,-16004,-16123
45,-15968,-16020,-15993,-16014
46,-16214,-16049,-16025,-16154
47,-16273,-16095,-16074,-16237
48,-16335,-16140,-16131,-16305
49,-16190,-16200,-16213,-16224
50,-16073,-16175,-16258,-16118
51,-16240,-16220,-16233,-16203
52,-16211,-16220,-16177,-16208
53,-16120,-16194,-16169,-16146
54,-16091,-16154,-16181,-16107
55,-16109,-16140,-16158,-16108
56,-15897,-16111,-16115,-15960
57,-16288,-16119,-16078,-16189
58,-16249,-16125,-16061,-16231
59,-16121,-16125,-16114,-16154
60,-16064,-16121,-16184,-16091
61,-16002,-16103,-16166,-16028
62,-15840,-16094,-16097,-15896
63,-16261,-16089,-16027,-16151
64,-16045,-16055,-15994,-16076
65,-15677,-15981,-16031,-15796
66,-16028,-15975,-16032,-15958
67,-16200,-16008,-15946,-16127
68,-16443,-16109,-15953,-16348
69,-16081,-16079,-16093,-16161
70,-16360,-16131,-16227,-16300
71,-16271,-16230,-16259,-16279
72,-15929,-16214,-16248,-16034
73,-15653,-16122,-16212,-15767
74,-16080,-16062,-16069,-15986
75,-16925,-16203,-15941,-16643
76,-15516,-16062,-16023,-15854
77,-16059,-16027,-16214,-15997
78,-15919,-16025,-16153,-15942
79,-16138,-16106,-15980,-16079
80,-16048,-16100,-15966,-16057
81,-16032,-15952,-16019,-16039
82,-16489,-16114,-16066,-16354
83,-16363,-16164,-16119,-16360
84,-16184,-16209,-16238,-16236
85,-16465,-16263,-16324,-16396
86,-16161,-16282,-16318,-16231
87,-16280,-16323,-16307,-16265
88,-16225,-16279,-16286,-16237
89,-15374,-16114,-16229,-15632
90,-16303,-16134,-16120,-16101
91,-16105,-16074,-15953,-16103
92,-16384,-16111,-15953,-16299
93,-17117,-16251,-16134,-16871
94,-17087,-16395,-16371,-17022
